date,temperature_2m,precipitation,relative_humidity_2m,wind_speed_10m,wind_gusts_10m,surface_pressure
2026-01-07 00:00:00+00:00,5.085,1.4000001,81.0,21.26744,51.12,1004.5599
2026-01-07 01:00:00+00:00,4.8849998,2.6,87.0,16.595179,43.92,1002.76294
2026-01-07 02:00:00+00:00,5.185,1.6000001,89.0,16.299694,36.36,1001.9681
2026-01-07 03:00:00+00:00,4.935,0.90000004,91.0,8.089993,32.399998,1000.66925
2026-01-07 04:00:00+00:00,4.835,0.0,92.0,10.440001,20.880001,1000.96747
2026-01-07 05:00:00+00:00,4.285,0.0,87.0,10.446206,20.880001,1001.1612
2026-01-07 06:00:00+00:00,2.585,0.0,91.0,8.854829,21.96,1001.04425
2026-01-07 07:00:00+00:00,2.435,0.0,86.0,12.224107,25.56,1001.34186
2026-01-07 08:00:00+00:00,2.135,0.0,85.0,12.57426,27.0,1001.937
2026-01-07 09:00:00+00:00,1.9849999,0.0,85.0,12.641076,27.0,1002.33435
2026-01-07 10:00:00+00:00,2.485,0.0,82.0,14.685176,32.399998,1002.5388
2026-01-07 11:00:00+00:00,3.235,0.0,80.0,13.627795,30.960001,1002.3472
2026-01-07 12:00:00+00:00,4.8849998,0.0,71.0,13.684735,29.16,1002.2644
2026-01-07 13:00:00+00:00,5.6349998,0.0,66.0,17.81909,39.96,1002.37164
2026-01-07 14:00:00+00:00,5.685,0.0,66.0,16.65754,39.6,1001.97345
2026-01-07 15:00:00+00:00,6.235,0.0,65.0,15.905319,36.36,1001.9787
2026-01-07 16:00:00+00:00,6.035,0.0,59.0,16.394829,36.0,1002.6749
2026-01-07 17:00:00+00:00,5.535,0.0,61.0,14.113653,34.56,1002.969
2026-01-07 18:00:00+00:00,4.685,0.0,73.0,10.239453,29.519999,1003.06
2026-01-07 19:00:00+00:00,4.485,0.0,75.0,10.594036,22.68,1003.1578
2026-01-07 20:00:00+00:00,4.085,0.0,77.0,8.557102,21.599998,1003.5527
2026-01-07 21:00:00+00:00,3.185,0.0,78.0,8.699793,18.0,1003.3436
2026-01-07 22:00:00+00:00,2.5349998,0.0,81.0,7.5685663,18.72,1003.43677
2026-01-07 23:00:00+00:00,2.485,0.0,80.0,5.6920996,15.4800005,1003.23676
